"Name","Team","POS","PTS","PTS/G","GP","CMP","YDS","TD","INT","ATT","YDS","TD","FUM","TGT","REC","YDS","TD"
"Russell Wilson","NYG","QB","49.8","8.3","6","69","831","3","3","18","106","0","0","0","0","0","0"
"Dyami Brown","JAX","WR","49.7","3.6","14","0","0","0","0","6","30","0","1","37","20","227","1"
"Luke Musgrave","GB","TE","49.2","2.9","17","0","0","0","0","0","0","0","0","31","24","252","0"
"Kyle Williams","NE","WR","49.2","2.9","17","0","0","0","0","2","3","0","0","21","10","209","3"
"David Sills V","ATL","WR","49.1","2.9","17","0","0","0","0","0","0","0","0","36","18","191","2"
"Jake Browning","CIN","QB","48.7","9.7","5","81","771","6","8","9","39","1","0","0","0","0","0"
"Jayden Reed","GB","WR","48.5","6.9","7","0","0","0","0","3","28","0","0","22","19","207","1"
"Xavier Smith","LAR","WR","48.3","3","16","0","0","0","0","0","0","0","0","24","18","303","0"
"Mitchell Evans","CAR","TE","48.2","2.8","17","0","0","0","0","1","1","0","0","25","19","171","2"
"Jaylen Wright","MIA","RB","48.2","4.8","10","0","0","0","0","70","288","2","1","9","5","44","0"
"Audric Estime","NO","RB","48.1","6.9","7","0","0","0","0","46","198","1","0","13","12","103","0"
"Tanner Hudson","CIN","TE","47.8","3.2","15","0","0","0","0","0","0","0","0","24","19","168","2"
"Calvin Ridley","TEN","WR","47.3","6.8","7","0","0","0","0","0","0","0","0","36","17","303","0"
"Jeremy Ruckert","NYJ","TE","46.9","2.8","17","0","0","0","0","0","0","0","0","29","23","179","1"
"Isaiah Williams","NYJ","WR","46.7","3.1","15","0","0","0","0","3","34","0","1","36","26","193","0"
"Jalen Tolbert","DAL","WR","46.3","3.6","13","0","0","0","0","0","0","0","0","34","18","203","1"
"Adam Trautman","DEN","TE","45.5","2.7","17","0","0","0","0","0","0","0","0","23","20","195","1"
"Tyrell Shavers","BUF","WR","45.5","2.7","17","0","0","0","0","0","0","0","0","23","15","245","1"
"Jerome Ford","CLE","RB","43.6","3.4","13","0","0","0","0","24","73","0","0","32","26","103","0"
"Jack Bech","LV","WR","42.4","2.6","16","0","0","0","0","0","0","0","0","29","20","224","0"
"Malik Davis","DAL","RB","40.6","4.1","10","0","0","0","0","52","250","2","0","5","2","16","0"
"Tyler Huntley","BAL","QB","40.1","8","5","52","426","2","0","24","151","0","0","0","0","0","0"
"Adam Thielen","MIN","WR","39.6","2.5","16","0","0","0","0","0","0","0","0","35","19","186","0"
"Zavier Scott","MIN","RB","39.2","2.5","16","0","0","0","0","32","114","0","1","16","14","98","1"
"Noah Gray","KC","TE","38.8","2.4","16","0","0","0","0","0","0","0","0","37","21","178","0"
"Chris Moore","WAS","WR","38.6","2.8","14","0","0","0","0","1","9","0","0","23","11","207","1"
"Roman Wilson","PIT","WR","38.6","3","13","0","0","0","0","0","0","0","1","20","12","166","2"
"Tyler Johnson","NYJ","WR","37.7","3.1","12","0","0","0","0","0","0","0","0","18","12","197","1"
"Devontez Walker","BAL","WR","37.6","3.1","12","0","0","0","0","0","0","0","0","8","6","136","3"
"Jaylin Lane","WAS","WR","37.2","2.5","15","0","0","0","0","1","7","0","1","32","16","225","0"
"Hunter Luepke","DAL","RB","37","2.2","17","0","0","0","0","16","71","0","0","15","13","109","1"
"Elijah Arroyo","SEA","TE","36.9","2.8","13","0","0","0","0","0","0","0","1","26","15","179","1"
"Brock Wright","DET","TE","36.8","3.3","11","0","0","0","0","0","0","0","0","22","14","108","2"
"Jordan Whittington","LAR","WR","36.3","2.1","17","0","0","0","0","3","12","0","0","25","18","171","0"
"Charlie Kolar","BAL","TE","36.2","2.1","17","0","0","0","0","0","0","0","0","15","10","142","2"
"Ameer Abdullah","IND","RB","35.9","2.8","13","0","0","0","0","14","60","1","1","17","16","99","0"
"Hunter Renfrow","CAR","WR","35.9","6","6","0","0","0","0","0","0","0","0","26","15","89","2"
"Tyler Badie","DEN","RB","35.4","2.2","16","0","0","0","0","8","23","0","0","31","19","141","0"
"Trey Benson","ARI","RB","35.4","8.8","4","0","0","0","0","29","160","0","0","16","13","64","0"
"Lil'Jordan Humphrey","NYG","WR","34.6","3.5","10","0","0","0","0","0","0","0","0","25","13","156","1"
"James Conner","ARI","RB","33.3","11.1","3","0","0","0","0","32","95","1","0","9","8","38","1"
"Kendre Miller","NO","RB","33.3","4.8","7","0","0","0","0","47","193","1","0","5","5","30","0"
"Kevin Austin Jr.","NO","WR","33","4.1","8","0","0","0","0","0","0","0","0","23","13","140","1"
"Jameis Winston","NYG","QB","33","11","3","37","567","2","2","7","23","1","1","1","1","33","1"
"Quinn Ewers","MIA","QB","32.8","6.6","5","55","622","3","3","8","19","0","0","1","1","-6","0"
"Chris Brooks","GB","RB","32.7","1.9","17","0","0","0","0","27","106","0","0","17","13","91","0"
"Hunter Long","JAX","TE","32.5","3.6","9","0","0","0","0","0","0","0","0","17","12","85","2"
"Marquez Valdes-Scantling","SF","WR","32","3.2","10","0","0","0","0","0","0","0","0","29","14","120","1"
"Drew Sample","CIN","TE","31.9","1.9","17","0","0","0","0","1","3","0","0","20","15","106","1"
"Mitchell Tinsley","CIN","WR","31.6","1.9","17","0","0","0","0","0","0","0","0","24","8","116","2"
"Malachi Corley","CLE","WR","31.6","2.4","13","0","0","0","0","13","127","0","0","14","11","79","0"
"Jaleel McLaughlin","DEN","RB","31.4","3.9","8","0","0","0","0","37","187","1","0","6","4","27","0"
"Tutu Atwell","LAR","WR","31.2","3.1","10","0","0","0","0","0","0","0","0","15","6","192","1"
"Philip Rivers","IND","QB","31.2","10.4","3","58","544","4","3","2","-6","0","0","0","0","0","0"
"Mitchell Trubisky","BUF","QB","31.1","7.8","4","25","313","4","0","9","6","0","0","0","0","0","0"
"Julian Hill","MIA","TE","31","2.2","14","0","0","0","0","0","0","0","0","20","15","140","0"
"Gabe Davis","BUF","WR","30.9","5.1","6","0","0","0","0","0","0","0","0","18","12","129","1"
"Mo Alie-Cox","IND","TE","30.7","1.8","17","0","0","0","0","0","0","0","0","20","13","117","1"
"Zay Jones","ARI","WR","30.3","3.8","8","0","0","0","0","0","0","0","0","18","12","183","0"
"Brycen Tremayne","CAR","WR","30","1.9","16","0","0","0","0","0","0","0","0","19","14","160","0"
"Jalen McMillan","TB","WR","29.9","7.5","4","0","0","0","0","1","1","0","0","15","12","178","0"
"Jawhar Jordan","HOU","RB","29.7","7.4","4","0","0","0","0","43","193","0","0","7","7","34","0"
"Luke Farrell","SF","TE","29.5","1.7","17","0","0","0","0","0","0","0","1","14","11","85","2"
"Raheem Mostert","LV","RB","29.4","2.4","12","0","0","0","0","22","104","0","0","12","12","70","0"
"Riley Leonard","IND","QB","29.3","5.9","5","39","415","2","3","6","27","2","2","0","0","-3","0"
"Treylon Burks","WAS","WR","29","3.6","8","0","0","0","0","0","0","0","0","22","10","130","1"
"Jimmy Horn Jr.","CAR","WR","28.7","2.2","13","0","0","0","0","8","69","0","0","15","11","108","0"
"Elijah Moore","BUF","WR","28.6","3.2","9","0","0","0","0","6","24","1","0","17","9","112","0"
"Gunner Olszewski","NYG","WR","28.5","1.8","16","1","33","1","0","0","0","0","1","13","10","145","1"
"Brady Cook","NYJ","QB","28.5","5.7","5","88","739","2","7","13","49","0","1","0","0","0","0"
"Ben Sinnott","WAS","TE","28.4","1.8","16","0","0","0","0","0","0","0","0","13","11","114","1"
"Isaiah Hodgins","NYG","WR","27.5","3.9","7","0","0","0","0","0","0","0","0","19","10","115","1"
"Connor Heyward","PIT","TE","27.4","1.6","17","0","0","0","0","15","43","2","0","4","3","21","1"
"John Bates","WAS","TE","27.3","1.8","15","0","0","0","0","0","0","0","0","16","11","103","1"
"Luke Schoonmaker","DAL","TE","27.2","1.6","17","0","0","0","0","0","0","0","0","23","14","132","0"
"Miles Sanders","DAL","RB","26.7","6.7","4","0","0","0","0","20","117","1","1","8","8","30","0"
"Jahdae Walker","CHI","WR","26.7","3","9","0","0","0","0","0","0","0","0","10","6","87","2"
"Theo Wease Jr.","MIA","WR","25.9","8.6","3","0","0","0","0","0","0","0","0","10","6","139","1"
"Jaret Patterson","LAC","RB","25.7","4.3","6","0","0","0","0","41","159","1","0","4","3","8","0"
"Savion Williams","GB","WR","25.5","2.1","12","0","0","0","0","11","37","0","1","10","10","78","1"
"John FitzPatrick","GB","TE","25.2","1.7","15","0","0","0","0","0","0","0","0","15","12","72","1"
"Konata Mumpfield","LAR","WR","25.2","1.5","17","0","0","0","0","0","0","0","0","23","10","92","1"
"LeQuint Allen Jr.","JAX","RB","24.8","1.5","17","0","0","0","0","23","94","0","0","11","10","54","0"
"Ian Thomas","LV","TE","24.4","1.6","15","0","0","0","0","0","0","0","0","13","13","114","0"
"Josh Johnson","WAS","QB","24.4","4.9","5","34","372","1","2","12","55","1","1","0","0","0","0"
"Rasheen Ali","BAL","RB","24.2","1.6","15","0","0","0","0","7","24","0","0","11","9","68","1"
"Dare Ogunbowale","HOU","RB","24.1","1.4","17","0","0","0","0","11","25","1","1","13","10","76","0"
"Brevyn Spann-Ford","DAL","TE","24","1.4","17","0","0","0","0","0","0","0","0","13","9","90","1"
"Dont'e Thornton Jr.","LV","WR","23.5","1.6","15","0","0","0","0","0","0","0","0","30","10","135","0"
"Josh Reynolds","NYJ","WR","23.1","4.6","5","0","0","0","0","0","0","0","0","21","11","101","0"
"Allen Lazard","NYJ","WR","23","2.3","10","0","0","0","0","0","0","0","0","18","10","70","1"
"Andrew Beck","NYJ","RB","23","1.4","17","0","0","0","0","1","5","0","0","9","6","45","2"
"Grant Calcaterra","PHI","TE","22.6","1.5","15","0","0","0","0","0","0","0","0","14","9","76","1"
"Taysom Hill","NO","QB","21.7","1.7","13","2","57","1","0","52","114","1","1","16","11","91","0"
"Curtis Samuel","BUF","WR","21.1","3.5","6","0","0","0","0","0","0","0","0","9","7","81","1"
"Will Dissly","LAC","TE","20.7","2.3","9","0","0","0","0","0","0","0","0","17","11","97","0"
"Jamari Thrash","CLE","WR","20.7","2.3","9","0","0","0","0","0","0","0","0","15","10","107","0"
"Mason Tipton","NO","WR","20.4","1.5","14","0","0","0","0","4","18","0","0","17","11","76","0"
"Jaydon Blue","DAL","RB","20.4","4.1","5","0","0","0","0","38","129","1","0","1","1","5","0"
"Raheim Sanders","CLE","RB","20.3","5.1","4","0","0","0","0","27","92","1","0","4","3","21","0"
